TEMPO;PROCESSO;PAGINA;ACAO
53;21;14;SAIU
53;21;15;SAIU
53;21;16;SAIU
53;21;17;SAIU
53;21;18;SAIU
53;21;19;SAIU
53;21;20;SAIU
53;21;21;SAIU
53;21;22;SAIU
53;21;23;SAIU
53;21;24;SAIU
53;23;0;ENTROU
53;23;1;ENTROU
53;23;2;ENTROU
53;23;3;ENTROU
53;23;4;ENTROU
53;23;5;ENTROU
53;23;6;ENTROU
53;23;7;ENTROU
53;23;8;ENTROU
53;23;9;ENTROU
53;23;10;ENTROU
53;23;11;ENTROU
53;23;12;ENTROU
54;22;25;SAIU
54;22;26;SAIU
54;22;27;SAIU
54;22;28;SAIU
54;22;55;SAIU
54;22;56;SAIU
54;22;57;SAIU
54;22;58;SAIU
54;22;59;SAIU
54;22;60;SAIU
54;22;61;SAIU
54;22;62;SAIU
54;22;63;SAIU
54;24;13;ENTROU
54;24;14;ENTROU
54;24;15;ENTROU
54;24;16;ENTROU
54;24;17;ENTROU
54;24;18;ENTROU
54;24;19;ENTROU
54;24;20;ENTROU
54;24;21;ENTROU
54;24;22;ENTROU
54;24;23;ENTROU
54;24;24;ENTROU
54;24;25;ENTROU
54;25;26;ENTROU
54;25;27;ENTROU
55;24;13;SAIU
55;24;14;SAIU
55;24;15;SAIU
55;24;16;SAIU
55;24;17;SAIU
55;24;18;SAIU
55;24;19;SAIU
55;24;20;SAIU
55;24;21;SAIU
55;24;22;SAIU
55;24;23;SAIU
55;24;24;SAIU
55;24;25;SAIU
55;25;26;SAIU
55;25;27;SAIU
55;26;13;ENTROU
55;26;14;ENTROU
55;26;15;ENTROU
55;26;16;ENTROU
55;26;17;ENTROU
55;26;18;ENTROU
55;26;19;ENTROU
55;26;20;ENTROU
55;26;21;ENTROU
55;26;22;ENTROU
55;26;23;ENTROU
55;26;24;ENTROU
55;26;25;ENTROU
56;26;13;SAIU
56;26;14;SAIU
56;26;15;SAIU
56;26;16;SAIU
56;26;17;SAIU
56;26;18;SAIU
56;26;19;SAIU
56;26;20;SAIU
56;26;21;SAIU
56;26;22;SAIU
56;26;23;SAIU
56;26;24;SAIU
56;26;25;SAIU
56;27;13;ENTROU
56;27;14;ENTROU
56;27;15;ENTROU
56;27;16;ENTROU
56;27;17;ENTROU
56;27;18;ENTROU
56;27;19;ENTROU
56;27;20;ENTROU
56;27;21;ENTROU
56;27;22;ENTROU
56;27;23;ENTROU
56;27;24;ENTROU
56;27;25;ENTROU
57;27;13;SAIU
57;27;14;SAIU
57;27;15;SAIU
57;27;16;SAIU
57;27;17;SAIU
57;27;18;SAIU
57;27;19;SAIU
57;27;20;SAIU
57;27;21;SAIU
57;27;22;SAIU
57;27;23;SAIU
57;27;24;SAIU
57;27;25;SAIU
60;7;29;SAIU
60;7;30;SAIU
60;7;31;SAIU
60;7;32;SAIU
60;7;33;SAIU
60;7;34;SAIU
60;7;35;SAIU
60;7;36;SAIU
60;7;37;SAIU
60;7;38;SAIU
60;7;39;SAIU
